building	station	walk_min	address	rent_man	layout	area_sqm	url
グランヴァン中野新橋0208	東京メトロ丸ノ内線/中野新橋	4	東京都中野区本町３	8	1K	24.87	https://suumo.jp/chintai/bc_100479597445/
ベルウッド両国503	ＪＲ総武線/両国	8	東京都墨田区両国１	8.2	1K	23.4	https://suumo.jp/chintai/bc_100481810092/
ルミエール703	ＪＲ山手線/大塚	2	東京都豊島区北大塚２	8.2	1K	20.44	https://suumo.jp/chintai/bc_100481197534/
ピュアレスＫ吉祥寺302	ＪＲ中央線/吉祥寺	7	東京都武蔵野市吉祥寺本町２	8.9	ワンルーム	25.1	https://suumo.jp/chintai/bc_100485849125/
パレステュディオ芝浦シティ614	ＪＲ山手線/田町	8	東京都港区芝浦２	9.3	1K	23.01	https://suumo.jp/chintai/bc_100481562712/
NOXG	東京メトロ千代田線/代々木上原	7	東京都渋谷区西原１	11.9	ワンルーム	21.29	https://suumo.jp/chintai/bc_100485718835/
ベルウッド両国503	ＪＲ総武線/両国	8	東京都墨田区両国１	8.2	1K	23.4	https://suumo.jp/chintai/bc_100481810092/
ピュアレスＫ吉祥寺302	ＪＲ中央線/吉祥寺	7	東京都武蔵野市吉祥寺本町２	8.9	ワンルーム	25.1	https://suumo.jp/chintai/bc_100485849125/
ソアブール千駄木駅前202	東京メトロ千代田線/千駄木	1	東京都文京区千駄木３	7.95	ワンルーム	21.52	https://suumo.jp/chintai/bc_100478439987/
ベルウッド両国503	ＪＲ総武線/両国	8	東京都墨田区両国１	8.2	1K	23.4	https://suumo.jp/chintai/bc_100481810092/
リブリ・大沼306	西武新宿線/小平	8	東京都小平市大沼町１	7.4	1K	26.08	https://suumo.jp/chintai/bc_100481428468/
ベルウッド両国503	ＪＲ総武線/両国	8	東京都墨田区両国１	8.2	1K	23.4	https://suumo.jp/chintai/bc_100481810092/
VOGA　ASAGAYA104	ＪＲ中央線/阿佐ケ谷	9	東京都杉並区阿佐谷北２	7.5	1K	22.75	https://suumo.jp/chintai/bc_100481000297/
